"level","pairIndex","callerId","calleeId","ok","callId","loginMs","createMs","acceptMs","tokenMs","endMs","totalMs","createStatus","acceptStatus","tokenStatus","endStatus","error"
"15","6","L13","L14","True","b8591508-2e72-4ef6-b559-f4310e0e61cf","409","47","1","13","2","5477","201","200","200","200",
"15","7","L15","L16","True","281ee099-19f1-44f3-bd37-4f80e6372acd","399","3","3","2","2","5411","201","200","200","200",
"15","8","L17","L18","True","85d49f38-0353-475f-b6c0-12ade4fc509b","447","3","1","1","2","5469","201","200","200","200",
"15","9","L19","L20","True","5ce60af7-90ab-4609-bfdf-24662df57f36","343","45","2","3","2","5402","201","200","200","200",
"15","10","L21","L22","True","42202d06-abfb-49e5-baca-55d9cc4984ba","315","8","4","1","2","5334","201","200","200","200",
"15","11","L23","L24","True","91a37f70-8091-4ddf-b41e-0baa45ed30ae","344","8","4","2","2","5376","201","200","200","200",
"15","12","L25","L26","True","790a8cd0-674b-4113-bd31-fe6751046505","428","45","2","1","2","5480","201","200","200","200",
"15","13","L27","L28","True","ce351806-6223-4e0d-b1b1-653b4cb5812a","378","3","1","1","2","5393","201","200","200","200",
"15","14","L29","L30","True","814357e1-e8af-4672-a1cd-8b5721695c76","414","46","1","1","3","5481","201","200","200","200",
"20","0","L01","L02","True","6a412a15-5279-435b-85f9-7bbdfdc2fb1a","481","49","2","1","8","5557","201","200","200","200",
"20","1","L03","L04","True","62dc3338-5f4a-4ff0-a527-085985b5d63f","391","19","2","4","2","5426","201","200","200","200",
"20","2","L05","L06","True","2e62e903-2be3-4b91-a8a9-bd25dc0d7b89","508","4","1","1","8","5539","201","200","200","200",
"20","3","L07","L08","True","4629facf-e535-4f6e-b8e7-0d03288a7eb5","497","88","2","1","2","5606","201","200","200","200",
"20","4","L09","L10","True","bafc3d21-4d87-46ce-9512-5d5f305c32b0","434","4","2","8","2","5462","201","200","200","200",
"20","5","L11","L12","True","24d49454-7add-49f3-b9f2-7bc9fa57392a","430","4","1","8","2","5457","201","200","200","200",
"20","6","L13","L14","True","e71f76eb-09c5-4ddf-b1a5-93bd15f3332c","502","70","2","1","2","5593","201","200","200","200",
"20","7","L15","L16","True","997da50e-b86c-44e6-b152-108648cbd043","587","45","2","2","1","5652","201","200","200","200",
"20","8","L17","L18","True","dd5ac6e2-2172-437b-aa6e-05419ba1d7f9","400","55","5","6","2","5477","201","200","200","200",
"20","9","L19","L20","True","c076c96f-b8c8-42ad-ae3a-269975e401fe","456","11","2","4","2","5489","201","200","200","200",
"20","10","L21","L22","True","a21134f4-9ff0-4ffa-b43e-196f60c1f9a3","557","48","2","2","2","5625","201","200","200","200",
"20","11","L23","L24","True","e221ac0c-e49d-4ecd-9669-7bff5bc3bfb9","434","10","4","7","2","5465","201","200","200","200",
"20","12","L25","L26","True","f6686a7a-b4b9-4f15-a1c7-a64602113957","464","83","2","1","2","5568","201","200","200","200",
"20","13","L27","L28","True","58b11c73-34c2-42a2-bdfd-99e02c84a711","425","10","5","6","2","5456","201","200","200","200",
"20","14","L29","L30","True","fb2b81c9-f8a9-499d-bf93-7084291a57b9","391","6","8","4","2","5418","201","200","200","200",
"20","15","L31","L32","True","bbc0c1e3-7ab3-4382-971c-a05f49ff7808","475","51","2","1","2","5548","201","200","200","200",
"20","16","L33","L34","True","e7442ebf-1186-4fd3-acf3-9743bc5db333","466","3","1","47","2","5522","201","200","200","200",
"20","17","L35","L36","True","fe3cbef7-a6e4-460f-94ed-f1dbd995652c","508","51","1","2","2","5576","201","200","200","200",
"20","18","L37","L38","True","43625083-4246-4c69-8075-3738c2113d3c","509","44","1","1","2","5569","201","200","200","200",
"20","19","L39","L40","True","d518524d-9eae-4e0e-9c88-8d9bb5ec1d95","531","4","2","2","2","5548","201","200","200","200",
